127.0.0.1 - - [04/Aug/2020:15:36:13 +0800] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:37:43 +0800] "GET /javaweb/view/d0802/user_save_form.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:38:11 +0800] "POST /javaweb/view/d0802/user_save.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:38:11 +0800] "GET /javaweb/view/d0802/user_list.jsp HTTP/1.1" 200 2176
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:38:11 +0800] "GET /javaweb/static/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:38:11 +0800] "GET /javaweb/static/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:38:11 +0800] "GET /javaweb/static/js/jquery-3.5.1.min.js HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:38:11 +0800] "GET /javaweb/static/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:39:37 +0800] "GET /javaweb/view/d0802/user_save_form.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:39:39 +0800] "GET /javaweb/view/d0802/user_save_form.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:39:46 +0800] "POST /javaweb/view/d0802/user_save.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:39:46 +0800] "GET /javaweb/view/d0802/user_list.jsp HTTP/1.1" 200 2176
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:39:46 +0800] "GET /javaweb/static/js/jquery-3.5.1.min.js HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:41:52 +0800] "GET /javaweb/view/d0802/user_save_form.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:41:55 +0800] "GET /javaweb/view/d0802/user_save_form.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:42:01 +0800] "POST /javaweb/view/d0802/user_save.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:42:01 +0800] "GET /javaweb/view/d0802/user_list.jsp HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [04/Aug/2020:15:42:01 +0800] "GET /javaweb/static/js/jquery-3.5.1.min.js HTTP/1.1" 404 749
